ID,Title,Difficulty,Solved?,推荐指数,击败,Tags
1,1. Two Sum,Easy,Yes,⭐⭐⭐⭐,73.58,"Array, Hash Table, Two Pointers"
2,2. Add Two Numbers,Medium,Yes,⭐⭐⭐,78.6,"Linked List, Math"
3,3. Longest Substring Without Repeating Characters,Medium,Yes,⭐⭐⭐⭐,84.77,"Hash Table, String, Two Pointers"
4,4. Median of Two Sorted Arrays,Hard,Yes,⭐⭐⭐⭐⭐,54.62,"Array, Binary Search, Divide and Conquer"
5,5. Longest Palindromic Substring,Medium,Yes,⭐⭐⭐⭐,71.57,"DP, String"
6,6. ZigZag Conversion,Medium,Yes,⭐⭐⭐,62.38,"String, 模拟"
7,7. Reverse Integer,Easy,Yes,⭐⭐,60.66,Math
8,8. String to Integer (atoi),Medium,Yes,⭐⭐,51.72,"Math, String"
9,9. Palindrome Number,Easy,Yes,⭐⭐,71.65,Math
10,10. Regular Expression Matching,Hard,Yes,⭐⭐⭐⭐⭐,98.08,"Backtracking, DP, String"
11,11. Container With Most Water,Medium,Yes,⭐⭐⭐⭐,93.47,"Array, Two Pointers"
12,12. Integer to Roman,Medium,Yes,⭐⭐⭐,70.95,"Math, String"
13,13. Roman to Integer,Easy,Yes,⭐⭐⭐,59.53,"Math, String"
14,14. Longest Common Prefix,Easy,Yes,⭐⭐⭐,71.82,String
15,15. 3Sum,Medium,Yes,⭐⭐⭐⭐,91.59,"Array, Two Pointers"
16,16. 3Sum Closest,Medium,Yes,⭐⭐⭐⭐,90.52,"Array, Two Pointers"
17,17. Letter Combinations of a Phone Number,Medium,Yes,⭐⭐⭐⭐,71.59,"Backtracking, String"
18,18. 4Sum,Medium,Yes,⭐⭐⭐⭐,84.01,"Array, Hash Table, Two Pointers"
19,19. Remove Nth Node From End of List,Medium,Yes,⭐⭐⭐,61.47,"Linked List, Two Pointers"
20,20. Valid Parentheses,Easy,Yes,⭐⭐,83.12,"Stack, String"
21,21. Merge Two Sorted Lists,Easy,Yes,⭐⭐,63.71,Linked List
22,22. Generate Parentheses,Medium,Yes,⭐⭐⭐⭐,77.93,"Backtracking, String"
23,23. Merge k Sorted Lists,Hard,Yes,⭐⭐⭐⭐,85.11,"Divide and Conquer, Heap, Linked List"
24,24. Swap Nodes in Pairs,Medium,Yes,⭐⭐⭐,77.49,Linked List
25,25. Reverse Nodes in k-Group,Hard,Yes,⭐⭐⭐,16.37,Linked List
26,26. Remove Duplicates from Sorted Array,Easy,Yes,⭐⭐,79.42,"Array, Two Pointers"
27,27. Remove Element,Easy,Yes,⭐⭐⭐,67.67,"Array, Two Pointers"
28,28. Implement strStr(),Easy,Yes,⭐⭐⭐,59.53,"String, Two Pointers"
29,29. Divide Two Integers,Medium,Yes,⭐⭐⭐,64.74,"Binary Search, Math"
30,30. Substring with Concatenation of All Words,Hard,Yes,⭐⭐⭐⭐,74.17,"Hash Table, String, Two Pointers"
31,31. Next Permutation,Medium,Yes,⭐⭐⭐⭐,98.61,"Array, Math"
32,32. Longest Valid Parentheses,Hard,Yes,⭐⭐⭐⭐⭐,72.19,"DP, Stack, String"
33,33. Search in Rotated Sorted Array,Medium,Yes,⭐⭐⭐⭐⭐,99.17,"Array, Binary Search"
34,34. Find First and Last Position of Element in Sorted Array,Medium,Yes,⭐⭐⭐,18.14,"Array, Binary Search"
35,35. Search Insert Position,Easy,Yes,⭐⭐⭐,91.23,"Array, Binary Search"
36,36. Valid Sudoku,Medium,Yes,⭐⭐⭐,96.99,Hash Table
37,37. Sudoku Solver,Hard,Yes,⭐⭐⭐⭐,63.81,"Backtracking, Hash Table"
38,38. Count and Say,Easy,Yes,⭐⭐,77.11,"Math, String, 模拟"
39,39. Combination Sum,Medium,Yes,⭐⭐⭐⭐,67.85,"Array, Backtracking, DP"
40,40. Combination Sum II,Medium,Yes,⭐⭐⭐⭐,77.75,"Array, Backtracking, DP"
41,41. First Missing Positive,Hard,Yes,⭐⭐⭐⭐,99.27,Array
42,42. Trapping Rain Water,Hard,Yes,⭐⭐⭐⭐,50.16,"Array, Stack, Two Pointers"
43,43. Multiply Strings,Medium,Yes,⭐⭐⭐,24.02,"Math, 模拟"
44,44. Wildcard Matching,Hard,Yes,⭐⭐⭐⭐,59.48,"Backtracking, DP, Greedy, String"
45,45. Jump Game II,Hard,Yes,⭐⭐⭐⭐⭐,35.68,"Array, BFS, Greedy"
46,46. Permutations,Medium,Yes,⭐⭐⭐⭐,64.36,"Backtracking, Recursive"
47,47. Permutations II,Medium,Yes,⭐⭐⭐⭐,39.01,"Backtracking, Recursive"
48,48. Rotate Image,Medium,Yes,⭐⭐⭐,67.49,"Array, Math, 规律"
49,49. Group Anagrams,Medium,Yes,⭐⭐,86.98,Hash Table
50,"50. Pow(x, n)",Medium,Yes,⭐⭐,99.69,"Binary Search, Math, Recursive"
51,51. N-Queens,Hard,Yes,⭐⭐⭐⭐,16.61,Backtracking
52,52. N-Queens II,Hard,Yes,⭐⭐⭐,11.14,Backtracking
53,53. Maximum Subarray,Easy,Yes,⭐⭐⭐⭐,93.77,"Array, DP, Divide and Conquer"
54,54. Spiral Matrix,Medium,Yes,⭐⭐,71.43,"Array, Math, 规律"
55,55. Jump Game,Medium,Yes,⭐⭐⭐⭐,35.35,"Array, DP, Greedy"
56,56. Merge Intervals,Medium,Yes,⭐⭐⭐,75.51,"Array, Sort"
57,57. Insert Interval,Hard,Yes,⭐⭐⭐⭐,31.61,"Array, Binary Search, Sort"
58,58. Length of Last Word,Easy,Yes,⭐⭐,9.71,String
59,59. Spiral Matrix II,Medium,Yes,⭐⭐⭐,70.27,"Math, 规律"
60,60. Permutation Sequence,Medium,Yes,⭐⭐⭐⭐,25.23,"Backtracking, Math"
61,61. Rotate List,Medium,Yes,⭐⭐⭐,100,"Linked List, Two Pointers"
62,62. Unique Paths,Medium,Yes,⭐⭐⭐,81.33,"Array, DP"
63,63. Unique Paths II,Medium,Yes,⭐⭐⭐,25.73,"DP, Matrix"
64,64. Minimum Path Sum,Medium,Yes,⭐⭐⭐,15,"DP, Matrix"
65,65. Valid Number,Hard,Yes,⭐⭐⭐⭐,79.52,Math
66,66. Plus One,Easy,Yes,⭐⭐⭐,60.49,"Array, Math, 模拟"
67,67. Add Binary,Easy,Yes,⭐⭐⭐,80.62,"Math, 模拟"
68,68. Text Justification,Hard,Yes,⭐⭐⭐⭐,76.74,String
69,69. Sqrt(x),Easy,Yes,⭐⭐⭐,81.27,"Binary Search, Math"
70,70. Climbing Stairs,Easy,Yes,⭐⭐⭐,75.24,DP
71,71. Simplify Path,Medium,Yes,⭐⭐⭐,97.42,"Stack, String"
72,72. Edit Distance,Hard,Yes,⭐⭐⭐⭐,98.76,DP
73,73. Set Matrix Zeroes,Medium,Yes,⭐⭐⭐⭐,69.72,Matrix
74,74. Search a 2D Matrix,Medium,Yes,⭐⭐⭐⭐,79.63,"Binary Search, Matrix"
75,75. Sort Colors,Medium,Yes,⭐⭐⭐,26.33,"Array, Sort, Two Pointers"
76,76. Minimum Window Substring,Hard,Yes,⭐⭐⭐⭐,30.1,"Hash Table, Sliding Window, String, Two Pointers"
77,77. Combinations,Medium,Yes,⭐⭐⭐⭐,75.95,"Backtracking, DP"
78,78. Subsets,Medium,Yes,⭐⭐⭐,66.07,"Array, Backtracking, Bit Manipulation"
79,79. Word Search,Medium,Yes,⭐⭐⭐,13.67,"Backtracking, DFS, Matrix"
80,80. Remove Duplicates from Sorted Array II,Medium,Yes,⭐⭐⭐⭐,94.78,"Array, Two Pointers"
81,81. Search in Rotated Sorted Array II,Medium,Yes,⭐⭐⭐⭐,97.61,"Array, Binary Search"
82,82. Remove Duplicates from Sorted List II,Medium,Yes,⭐⭐⭐,92.92,Linked List
83,83. Remove Duplicates from Sorted List,Easy,Yes,⭐⭐⭐,95.28,Linked List
84,84. Largest Rectangle in Histogram,Hard,Yes,⭐⭐⭐⭐⭐,21.08,Stack
85,85. Maximal Rectangle,Hard,Yes,⭐⭐⭐⭐,24.96,"DP, Matrix, Stack"
86,86. Partition List,Medium,Yes,⭐⭐,97.65,"Linked List, Two Pointers"
87,87. Scramble String,Hard,Yes,⭐⭐⭐⭐⭐,98.38,"DP, String"
88,88. Merge Sorted Array,Easy,Yes,⭐⭐⭐,81.79,"Array, Two Pointers"
89,89. Gray Code,Medium,Yes,⭐⭐⭐⭐,98.4,"Backtracking, Recursive, 规律"
90,90. Subsets II,Medium,Yes,⭐⭐⭐⭐,100,"Array, Backtracking, Recursive"
91,91. Decode Ways,Medium,Yes,⭐⭐⭐,99.97,"DP, String"
92,92. Reverse Linked List II,Medium,Yes,⭐⭐⭐⭐,65.21,Linked List
93,93. Restore IP Addresses,Medium,Yes,⭐⭐⭐⭐,92.86,"Backtracking, DP"
94,94. Binary Tree Inorder Traversal,Easy,Yes,⭐⭐⭐⭐,98.54,"Recursive, Stack, Tree"
95,95. Unique Binary Search Trees II,Medium,Yes,⭐⭐⭐,96.22,"DP, Tree"
96,96. Unique Binary Search Trees,Medium,Yes,⭐⭐,74.08,"DP, Tree"
97,97. Interleaving String,Hard,Yes,⭐⭐⭐⭐,98.92,"DP, String"
98,98. Validate Binary Search Tree,Medium,Yes,⭐⭐⭐,18.63,"Recursive, Tree"
99,99. Recover Binary Search Tree,Hard,Yes,⭐⭐⭐⭐⭐,77.82,"DFS, Tree"
100,100. Same Tree,Easy,Yes,⭐⭐,12.65,"Recursive, Tree"
103,103. Binary Tree Zigzag Level Order Traversal,Medium,Yes,⭐⭐,97.72,"BFS, Stack, Tree"
109,109. Convert Sorted List to Binary Search Tree,Medium,Yes,⭐⭐⭐,38.82,"DFS, Linked List"
115,115. Distinct Subsequences,Hard,Yes,⭐⭐⭐⭐,97.27,"DP, String"
118,118. Pascal's Triangle,Easy,Yes,⭐⭐,69.43,"Array, Math"
138,138. Copy List with Random Pointer,Medium,Yes,⭐⭐⭐,89.78,"Hash Table, Linked List"
141,141. Linked List Cycle,Easy,Yes,⭐⭐⭐⭐,,"Linked List, Two Pointers"
142,142. Linked List Cycle II,Medium,Yes,⭐⭐⭐⭐,,"Linked List, Two Pointers"
143,143. Reorder List,Medium,Yes,⭐,,Linked List
144,144. Binary Tree Preorder Traversal,Medium,Yes,⭐⭐⭐,79.54,"Stack, Tree"
145,145. Binary Tree Postorder Traversal,Medium,Yes,⭐⭐⭐,98.62,"Stack, Tree"
147,147. Insertion Sort List,Medium,Yes,⭐⭐,,"Linked List, Sort"
148,148. Sort List,Medium,Yes,⭐⭐⭐⭐,84.71,"Linked List, Sort"
150,150. Evaluate Reverse Polish Notation,Medium,Yes,⭐⭐,,Stack
155,155. Min Stack,Easy,Yes,⭐⭐⭐⭐,,"Design, Stack"
160,160. Intersection of Two Linked Lists,Easy,Yes,⭐⭐⭐⭐,47.51,Linked List
167,167. Two Sum II - Input array is sorted,Easy,Yes,⭐⭐,99.98,"Array, Binary Search, Two Pointers"
173,173. Binary Search Tree Iterator,Medium,Yes,⭐⭐⭐,78.02,"Design, Stack, Tree"
189,189. Rotate Array,Easy,Yes,⭐⭐⭐⭐,58.39,Array
203,203. Remove Linked List Elements,Easy,Yes,⭐⭐,98.14,Linked List
206,206. Reverse Linked List,Easy,Yes,⭐⭐⭐,71.24,Linked List
217,217. Contains Duplicate,Easy,Yes,⭐⭐,100,"Array, Hash Table"
224,224. Basic Calculator,Hard,Yes,⭐⭐⭐⭐,30.16,"Math, Stack"
225,225. Implement Stack using Queues,Easy,Yes,⭐⭐⭐,92.58,"Design, Stack"
232,232. Implement Queue using Stacks,Easy,Yes,⭐⭐⭐,50.37,"Design, Stack"
234,234. Palindrome Linked List,Easy,Yes,⭐⭐,,"Linked List, Two Pointers"
237,237. Delete Node in a Linked List,Easy,Yes,⭐,,Linked List
255,255. Verify Preorder Sequence in Binary Search Tree,Medium,Yes,,,"Stack, Tree"
272,272. Closest Binary Search Tree Value II,Hard,Yes,,,"Stack, Tree"
316,316. Remove Duplicate Letters,Medium,Yes,⭐⭐⭐⭐,98.97,"Greedy, Stack, String"
328,328. Odd Even Linked List,Medium,Yes,⭐⭐,,
331,331. Verify Preorder Serialization of a Binary Tree,Medium,Yes,⭐⭐⭐⭐,91.35,Stack
341,341. Flatten Nested List Iterator,Medium,Yes,⭐⭐⭐,,"Design, Stack"
369,369. Plus One Linked List,Medium,Yes,,,
371,371. Sum of Two Integers,Easy,No,⭐⭐⭐⭐⭐,100,Bit Manipulation
379,379. Design Phone Directory,Medium,Yes,,,
385,385. Mini Parser,Medium,Yes,⭐⭐⭐,82.81,"Stack, String"
394,394. Decode String,Medium,Yes,⭐⭐⭐,75.76,"DFS, Stack"
402,402. Remove K Digits,Medium,Yes,⭐⭐⭐,93.16,"Greedy, Stack"
426,426. Convert Binary Search Tree to Sorted Doubly Linked List,Medium,Yes,,,Linked List
430,430. Flatten a Multilevel Doubly Linked List,Medium,Yes,⭐⭐,67.89,"DFS, Linked List"
439,439. Ternary Expression Parser,Medium,Yes,,,"DFS, Stack"
445,445. Add Two Numbers II,Medium,Yes,⭐⭐,,Linked List
621,621. Task Scheduler,Medium,No,⭐⭐⭐⭐,,
918,918. Maximum Sum Circular Subarray,Medium,No,⭐⭐⭐⭐⭐,80.82,"Array, DP"
980,980. Unique Paths III,Hard,No,⭐⭐⭐⭐,90.15,"Backtracking, DFS"
1456,1456. Maximum Number of Vowels in a Substring of Given Length,Medium,Yes,⭐⭐⭐,89.13,"Sliding Window, String"
456,456. 132 Pattern,Medium,Yes,⭐⭐⭐⭐,98.55,Stack
101,101. Symmetric Tree,Easy,Yes,⭐⭐,93.75,"BFS, DFS, Tree"
102,102. Binary Tree Level Order Traversal,Medium,Yes,⭐⭐,95.13,"BFS, Tree"
104,104. Maximum Depth of Binary Tree,Easy,Yes,⭐⭐,98.2,"DFS, Tree"
105,105. Construct Binary Tree from Preorder and Inorder Traversal,Medium,Yes,⭐⭐⭐,37.7,"Array, DFS, Tree"
106,106. Construct Binary Tree from Inorder and Postorder Traversal,Medium,Yes,⭐⭐,25.5,"Array, DFS, Tree"
107,107. Binary Tree Level Order Traversal II,Easy,Yes,⭐⭐,83.74,"BFS, Tree"
108,108. Convert Sorted Array to Binary Search Tree,Easy,Yes,⭐⭐,89.76,"DFS, Tree"
110,110. Balanced Binary Tree,Easy,Yes,⭐⭐⭐,83.22,"DFS, Tree"
111,111. Minimum Depth of Binary Tree,Easy,Yes,⭐⭐⭐,37.09,"BFS, DFS, Tree"
112,112. Path Sum,Easy,Yes,⭐⭐⭐,85.33,"DFS, Tree"
113,113. Path Sum II,Medium,Yes,⭐⭐⭐,91.8,"DFS, Tree"
114,114. Flatten Binary Tree to Linked List,Medium,Yes,⭐⭐⭐,98.07,"DFS, Tree"
116,116. Populating Next Right Pointers in Each Node,Medium,Yes,⭐⭐⭐,94.36,"DFS, Tree"
117,117. Populating Next Right Pointers in Each Node II,Medium,Yes,⭐⭐⭐⭐,75.65,"DFS, Tree"
119,119. Pascal's Triangle II,Easy,Yes,⭐⭐,52.16,Array
120,120. Triangle,Medium,Yes,⭐⭐⭐,98.85,"Array, DP"
146,146. LRU Cache,Medium,Yes,⭐⭐⭐⭐,39.4,Design
149,149. Max Points on a Line,Hard,Yes,⭐⭐⭐⭐,81.4,"Hash Table, Math"
125,125. Valid Palindrome,Easy,Yes,⭐⭐,66.96,"String, Two Pointers"
